"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"03/17/2026","NRA Tax Adj","UNH","UNITEDHEALTH GROUP INC","","","","-$33.15"
"03/17/2026","Qualified Dividend","UNH","UNITEDHEALTH GROUP INC","","","","$132.60"
"02/03/2026","Buy","TSLA","TESLA INC","35","$417.82","","-$14623.70"
"12/30/2025","NRA Tax Adj","","SCHWAB1 INT 11/26-12/29","","","","-$0.04"
"12/30/2025","Credit Interest","","SCHWAB1 INT 11/26-12/29","","","","$0.30"
"12/16/2025","NRA Tax Adj","UNH","UNITEDHEALTH GROUP INC","","","","-$33.15"
"12/16/2025","Qualified Dividend","UNH","UNITEDHEALTH GROUP INC","","","","$132.60"
"11/26/2025","NRA Tax Adj","","SCHWAB1 INT 10/30-11/25","","","","-$0.22"
"11/26/2025","Credit Interest","","SCHWAB1 INT 10/30-11/25","","","","$1.51"
"11/05/2025","Wire Sent","","WIRED FUNDS DISBURSED","","","","-$100000.00"
"11/05/2025","Misc Cash Entry","","WAIVE WIRE FEE","","","","$15.00"
"11/05/2025","Service Fee","","WIRED FUNDS FEE","","","","-$15.00"
"10/31/2025","Wire Sent","","WIRED FUNDS DISBURSED","","","","-$100000.00"
"10/31/2025","Misc Cash Entry","","WAIVE WIRE FEE","","","","$15.00"
"10/31/2025","Service Fee","","WIRED FUNDS FEE","","","","-$15.00"
"10/30/2025","NRA Tax Adj","","SCHWAB1 INT 09/29-10/29","","","","-$1.41"
"10/30/2025","Credit Interest","","SCHWAB1 INT 09/29-10/29","","","","$9.44"
"10/10/2025","Buy","UNH","UNITEDHEALTH GROUP INC","60","$353.28","","-$21196.80"
"09/29/2025","NRA Tax Adj","","SCHWAB1 INT 08/28-09/28","","","","-$1.36"
"09/29/2025","Credit Interest","","SCHWAB1 INT 08/28-09/28","","","","$9.07"
"09/23/2025","Sell","U","UNITY SOFTWARE INC","478","$45.95","$0.08","$21964.02"
"09/12/2025","Sell","OSCR","OSCAR HEALTH INC CLASS A","1,000","$19.0432","$0.17","$19043.03"
"08/28/2025","NRA Tax Adj","","SCHWAB1 INT 07/30-08/27","","","","-$1.12"
"08/28/2025","Credit Interest","","SCHWAB1 INT 07/30-08/27","","","","$7.47"
"08/22/2025","Sell","VOOG","VANGUARD S&P ...500 GROWTH ETF","5.0871","$414.9515","","$2110.90"
"08/22/2025","Sell","BTC","GRAYSCALE BITCOIN MINI TRUST ETF","1","$51.40","","$51.40"
"08/22/2025","Sell","INTC","INTEL CORP","1,500","$24.49","$0.25","$36734.75"
"08/21/2025","Buy","INTC","INTEL CORP","500","$23.53","","-$11765.00"
"08/15/2025","Buy","OSCR","OSCAR HEALTH INC CLASS A","1,000","$15.445","","-$15445.00"
"08/08/2025","Buy","INTC","INTEL CORP","1,000","$19.74","","-$19740.00"
"07/30/2025","NRA Tax Adj","","SCHWAB1 INT 06/27-07/29","","","","-$1.27"
"07/30/2025","Credit Interest","","SCHWAB1 INT 06/27-07/29","","","","$8.52"
"07/08/2025","Sell","INTC","INTEL CORP","1,900","$23.17","$0.32","$44022.68"
"06/30/2025","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$2.50"
"06/30/2025","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.63"
"06/30/2025","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0047","$395.81","","-$1.87"
"06/27/2025","NRA Tax Adj","","SCHWAB1 INT 05/29-06/26","","","","-$0.82"
"06/27/2025","Credit Interest","","SCHWAB1 INT 05/29-06/26","","","","$5.49"
"06/23/2025","Sell","TSLA","TESLA INC","50","$348.50","$0.01","$17424.99"
"06/06/2025","Sell","NVDA","NVIDIA CORP","60","$140.5417","$0.01","$8432.49"
"05/29/2025","NRA Tax Adj","","SCHWAB1 INT 04/29-05/28","","","","-$0.80"
"05/29/2025","Credit Interest","","SCHWAB1 INT 04/29-05/28","","","","$5.34"
"05/05/2025","Wire Received","","WIRED FUNDS RECEIVED","","","","$10000.00"
"04/29/2025","NRA Tax Adj","","SCHWAB1 INT 03/28-04/28","","","","-$0.82"
"04/29/2025","Credit Interest","","SCHWAB1 INT 03/28-04/28","","","","$5.53"
"04/09/2025","Sell","SHOP","SHOPIFY INC FCLASS A","200","$86.7848","$0.50","$17356.45"
"04/09/2025","Sell","NET","CLOUDFLARE INC CLASS A","100","$108.47","$0.32","$10846.68"
"04/09/2025","Sell","IONQ","IONQ INC","1,300","$24.065","$1.09","$31283.41"
"04/08/2025","MoneyLink Deposit","","VINOD PERUVEMBU","","","","$13.54"
"04/07/2025","Wire Received","","WIRED FUNDS RECEIVED","","","","$27.09"
"04/07/2025","Buy","BTC","GRAYSCALE BITCOIN MINI TRUST ETF","1","$34.02","","-$34.02"
"04/07/2025","Wire Received","","WIRED FUNDS RECEIVED","","","","$27.09"
"04/04/2025","Buy","IONQ","IONQ INC","500","$20.685","","-$10342.50"
"04/04/2025","Buy","INTC","INTEL CORP","500","$19.8893","","-$9944.65"
"04/04/2025","Buy","IONQ","IONQ INC","400","$20.00","","-$8000.00"
"04/04/2025","Buy","INTC","INTEL CORP","400","$20.35","","-$8140.00"
"04/03/2025","Buy","TSLA","TESLA INC","30","$269.30","","-$8079.00"
"04/03/2025","Buy","SHOP","SHOPIFY INC FCLASS A","200","$82.985","","-$16597.00"
"04/03/2025","Buy","IONQ","IONQ INC","400","$23.44","","-$9376.00"
"04/03/2025","Buy","INTC","INTEL CORP","1,000","$21.3599","","-$21359.90"
"04/03/2025","Buy","NET","CLOUDFLARE INC CLASS A","100","$107.42","","-$10742.00"
"04/02/2025","NRA Tax Adj","NVDA","NVIDIA CORP","","","","-$0.15"
"04/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.60"
"03/28/2025","NRA Tax Adj","","SCHWAB1 INT 02/27-03/27","","","","-$0.85"
"03/28/2025","Credit Interest","","SCHWAB1 INT 02/27-03/27","","","","$5.72"
"03/27/2025","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0061","$343.75","","-$2.08"
"03/27/2025","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$2.78"
"03/27/2025","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.70"
"03/17/2025","Sell","INTC","INTEL CORP","1,300","$25.245","$1.13","$32817.37"
"02/27/2025","NRA Tax Adj","","SCHWAB1 INT 01/30-02/26","","","","-$0.75"
"02/27/2025","Credit Interest","","SCHWAB1 INT 01/30-02/26","","","","$5.00"
"02/13/2025 as of 01/30/2025","Adjustment","","NRA W/H S1","","","","-$1.03"
"02/13/2025 as of 01/30/2025","Adjustment","","REV W/H S1","","","","$2.06"
"02/13/2025 as of 01/31/2025","Adjustment","","REFUND COST","","","","$2366.45"
"02/11/2025","Sell","METV","ROUNDHILL BALL METAVERSEETF","100","$15.115","$0.06","$1511.44"
"01/31/2025","Sell","COST","COSTCO WHSL CORP NEW","10","$986.022","$0.28","$7493.49"
"01/30/2025","NRA Tax Adj","","SCHWAB1 INT 12/30-01/29","","","","-$2.06"
"01/30/2025","Credit Interest","","SCHWAB1 INT 12/30-01/29","","","","$6.89"
"01/29/2025","Buy","TSLA","TESLA INC","20","$387.7456","","-$7754.91"
"01/29/2025","Buy","INTC","INTEL CORP","300","$19.7662","","-$5929.86"
"01/29/2025","Buy","NVDA","NVIDIA CORP","60","$122.83","","-$7369.80"
"01/21/2025","Buy","INTC","INTEL CORP","1,000","$21.80","","-$21800.00"
