Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 7, 2026 - April 13, 2026"
Statement,Data,WhenGenerated,"2026-04-14, 13:40:42 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,132541.748515
Summary,Data,Change,-12674.302684383016
Summary,Data,Ending Cash,119867.445830617
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-04-13,vpk2,ORACLE CORP,Sell,ORCL,-150.0,146.355,USD,21953.25,-1.48148695,21951.76851305
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,400.0,2.7099,USD,-1083.96,-2.0,-1085.96
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,600.0,2.71,USD,-1626.0,-3.0,-1629.0
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,1900.0,2.71,USD,-5149.0,-9.5,-5158.5
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,200.0,2.71,USD,-542.0,-1.0,-543.0
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,700.0,2.71,USD,-1897.0,-3.5,-1900.5
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,1300.0,2.71,USD,-3523.0,-6.5,-3529.5
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,1400.0,2.71,USD,-3794.0,-7.0,-3801.0
Transaction History,Data,2026-04-13,vpk2,BALLARD POWER SYSTEMS INC,Buy,BLDP,5500.0,2.71,USD,-14905.0,-27.5,-14932.5
Transaction History,Data,2026-04-13,vpk2,BLACKSTONE INC,Sell,BX,-100.0,120.8,USD,12080.0,-1.268348,12078.731652
Transaction History,Data,2026-04-13,vpk2,BLACKSTONE INC,Sell,BX,-89.0,120.8,USD,10751.2,-0.23882972,10750.961170280001
Transaction History,Data,2026-04-13,vpk2,BLACKSTONE INC,Sell,BX,-1.0,120.8,USD,120.8,-0.00268348,120.79731652
Transaction History,Data,2026-04-13,vpk2,BLACKSTONE INC,Sell,BX,-6.0,120.8,USD,724.8,-0.01610088,724.78389912
Transaction History,Data,2026-04-13,vpk2,KKR & CO INC,Sell,KKR,-100.0,96.94,USD,9694.0,-1.2191964,9692.7808036
Transaction History,Data,2026-04-13,vpk2,KKR & CO INC,Sell,KKR,-65.0,96.9215,USD,6299.8975,-0.142452889,6299.755047111
Transaction History,Data,2026-04-13,vpk2,BLACKSTONE INC,Sell,BX,-19.0,120.8,USD,2295.2,-0.12598612,2295.0740138799997
Transaction History,Data,2026-04-10,vpk2,FIRST SOLAR INC,Buy,FSLR,100.0,202.7842,USD,-20278.42,-1.0,-20279.42
Transaction History,Data,2026-04-10,vpk2,FIRST SOLAR INC,Buy,FSLR,20.0,202.79,USD,-4055.8,-,-4055.8
Transaction History,Data,2026-04-10,vpk2,ORACLE CORP,Buy,ORCL,46.0,137.6983,USD,-6334.1218,-1.0,-6335.1218
Transaction History,Data,2026-04-10,vpk2,ORACLE CORP,Buy,ORCL,80.0,137.695,USD,-11015.6,-,-11015.6
Transaction History,Data,2026-04-10,vpk2,ORACLE CORP,Buy,ORCL,11.0,137.6977,USD,-1514.6747,-,-1514.6747
Transaction History,Data,2026-04-10,vpk2,ORACLE CORP,Buy,ORCL,13.0,137.6977,USD,-1790.0701,-,-1790.0701
Transaction History,Data,2026-04-09,vpk2,BALLARD POWER SYSTEMS INC,Sell,BLDP,-5000.0,2.675,USD,13375.0,-26.250525,13348.749475
Transaction History,Data,2026-04-09,vpk2,TESLA INC,Sell,TSLA,-76.0,347.63,USD,26419.88,-1.559069528,26418.320930472
Transaction History,Data,2026-04-09,vpk2,TESLA INC,Sell,TSLA,-24.0,347.64,USD,8343.36,-0.176553216,8343.183446784
Transaction History,Data,2026-04-09,vpk2,DYNATRACE INC,Buy,DT,610.0,34.235,USD,-20883.35,-3.05,-20886.399999999998
Transaction History,Data,2026-04-09,vpk2,DYNATRACE INC,Buy,DT,390.0,34.235,USD,-13351.65,-1.95,-13353.6
Transaction History,Data,2026-04-08,vpk2,DYNATRACE INC,Sell,DT,-400.0,37.99,USD,15196.0,-2.3910376,15193.6089624
Transaction History,Data,2026-04-08,vpk2,TESLA INC,Buy,TSLA,35.0,343.48,USD,-12021.8,-1.0,-12022.8
Transaction History,Data,2026-04-08,vpk2,TESLA INC,Buy,TSLA,65.0,343.48,USD,-22326.2,-,-22326.2
Transaction History,Data,2026-04-08,vpk2,COINBASE GLOBAL INC -CLASS A,Buy,COIN,100.0,174.635,USD,-17463.5,-1.0,-17464.5
Transaction History,Data,2026-04-08,vpk2,COINBASE GLOBAL INC -CLASS A,Buy,COIN,50.0,174.635,USD,-8731.75,-,-8731.75
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-10.0,2.67,USD,26.7,-0.05250002,26.64749998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-20.0,2.67,USD,53.4,-0.10500004,53.29499996
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-270.0,2.67,USD,720.9,-1.41750054,719.48249946
Transaction History,Data,2026-04-08,vpk2,ALPHABET INC-CL C,Sell,GOOG,-58.0,316.41,USD,18351.78,-1.389356668,18350.390643331997
Transaction History,Data,2026-04-08,vpk2,ALPHABET INC-CL C,Sell,GOOG,-42.0,316.41,USD,13289.22,-0.281947932,13288.938052067999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-500.0,2.67,USD,1335.0,-2.625001,1332.374999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-50.0,2.67,USD,133.5,-0.2625001,133.2374999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-16.0,2.67,USD,42.72,-0.084000032,42.635999968
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-1.0,2.67,USD,2.67,-0.005250002,2.664749998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-680.0,2.67,USD,1815.6,-3.57000136,1812.0299986399998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-270.0,2.67,USD,720.9,-1.41750054,719.48249946
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-680.0,2.67,USD,1815.6,-3.57000136,1812.0299986399998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-50.0,2.67,USD,133.5,-0.2625001,133.2374999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-10.0,2.67,USD,26.7,-0.05250002,26.64749998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-500.0,2.67,USD,1335.0,-2.625001,1332.374999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-1.0,2.67,USD,2.67,-0.005250002,2.664749998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-10.0,2.67,USD,26.7,-0.05250002,26.64749998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-1688.0,2.67,USD,4506.96,-8.862003376,4498.097996624
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-3.0,2.67,USD,8.01,-0.015750006,7.994249994
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-5.0,2.67,USD,13.35,-0.02625001,13.32374999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-3.0,2.67,USD,8.01,-0.015750006,7.994249994
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-50.0,2.67,USD,133.5,-0.2625001,133.2374999
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-1.0,2.67,USD,2.67,-0.005250002,2.664749998
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-2.0,2.67,USD,5.34,-0.010500004,5.329499996
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-176.0,2.67,USD,469.92,-0.924000352,468.995999648
Transaction History,Data,2026-04-08,vpk2,PLUG POWER INC,Sell,PLUG,-4.0,2.67,USD,10.68,-0.021000008,10.658999992
Transaction History,Data,2026-04-07,vpk2,PLUG POWER INC,Buy,PLUG,5000.0,2.495,USD,-12475.0,-25.0,-12500.0
